Prompt,Answer
If a right triangle has legs of lengths 6 and 8 what is the length of the hypotenuse?,"Using the Pythagorean theorem, the hypotenuse is the square root of (6^2 + 8^2) = sqrt(36 + 64) = sqrt(100) = 10."
Create an identity for the expression cot(Î¸)csc(Î¸) by rewriting strictly in terms of sine.,"Using the definitions of cot and csc, we have cot(Î¸)csc(Î¸) = (cos(Î¸)/sin(Î¸))(1/sin(Î¸)) = cos(Î¸)/sin^2(Î¸). Rewriting in terms of sine, cot(Î¸)csc(Î¸) = cos(Î¸)/sin^2(Î¸)."
Prove that the composition of any two increasing functions is increasing.,"Let f and g be given increasing functions. We claim that f â—¦ g is increasing. Given numbers x < y, we need to show that (f â—¦ g)(x) < (f â—¦ g)(y). Since g is increasing, g(x) < g(y). Since f is also increasing, applying the definition to f and g(x), g(y), we see that f(g(x)) < f(g(y)), or (f â—¦ g)(x) < (f â—¦ g)(y). Hence, f â—¦ g is increasing."
Prove that the difference of any two increasing functions is decreasing.,"Let f and g be increasing functions, and x < y. As f is increasing, f(x) < f(y). Likewise, g(x) < g(y). Subtracting these inequalities, we see that (f - g)(x) = f(x) - g(x) < f(y) - g(y) = (f - g)(y), so f - g is decreasing."
Prove that the function h : N → N defined by h(n) = floor(n/2) is surjective.,"To prove h is surjective, we must show that for every element m in N, there exists an element n in N such that h(n) = m. Let m be an arbitrary element of N. Notice that h(2m) = floor(2m/2) = m. Hence, m is in the range of h. Thus, h is surjective."
Let f(x) = x^3 - 3x + 1. Prove that f(x) has at least one real root.,"By the Intermediate Value Theorem, if a continuous function changes sign over an interval, it has at least one root in that interval. Consider f(x) = x^3 - 3x + 1. Note that f(0) = 1 and f(1) = -1. Since f(x) is continuous, it must cross the x-axis between 0 and 1. Hence, f(x) has at least one real root."
There are infinitely many prime numbers of the form 4k + 3.,"Proof. Suppose there are finitely many primes of the form 4k + 3: p1, p2, ..., pn. Consider the number N = 4(p1p2...pn)^2 + 3. N is of the form 4k + 3 and is not divisible by any of the primes p1, p2, ..., pn, leading to a contradiction. Hence, there are infinitely many primes of the form 4k + 3."
The ratio of cats to dogs in a shelter is 7/5. If a few cats are adopted the ratio of cats to dogs becomes the reciprocal of the earlier ratio. What is the possible number of cats and dogs in the shelter?,"Let the initial number of cats be 7x and dogs be 5x. Let y be the number of cats adopted. Then the new ratio is 5/7. Setting up the equation 7x - y = 5/7 * 5x, we get 49x - 7y = 25x. Solving, we find 24x = 7y. Thus, y = 24x/7. Since x and y must be integers, 24x must be divisible by 7, so x must be a multiple of 7. Possible numbers of cats and dogs are (49, 35), (98, 70), etc."
If n is a natural number prove that n^4 - n^2 is divisible by 2.,"Proof: let n be a natural number. We can factor n^4 - n^2 as n^2(n^2 - 1) = n^2(n - 1)(n + 1). Since n, n-1, and n+1 are three consecutive integers, at least one of them is even, making their product divisible by 2. Hence, n^4 - n^2 is divisible by 2."
Prove that if x is a real number and x > 0 then sqrt(x) < x.,"Proof: If x > 0, then sqrt(x)^2 = x. Since x > sqrt(x) for any positive x (as squaring a positive number greater than 1 results in a larger number), we have sqrt(x) < x. q.e.d."
